#    L    TT             EE             BB             TE         
     2    1.04675E+03    3.76895E-02    0.00000E+00    2.89047E+00
     3    9.88372E+02    5.37782E-02    0.00000E+00    3.39211E+00
     4    9.32073E+02    5.25902E-02    0.00000E+00    3.31240E+00
     5    8.89334E+02    4.01977E-02    0.00000E+00    2.93203E+00
     6    8.59380E+02    2.55504E-02    0.00000E+00    2.44759E+00
     7    8.39654E+02    1.44415E-02    0.00000E+00    1.97568E+00
     8    8.27249E+02    8.26674E-03    0.00000E+00    1.57767E+00
     9    8.20609E+02    5.68041E-03    0.00000E+00    1.27470E+00
    10    8.18295E+02    4.75258E-03    0.00000E+00    1.07073E+00
    11    8.18874E+02    4.22243E-03    0.00000E+00    9.57521E-01
    12    8.22949E+02    3.69408E-03    0.00000E+00    9.20377E-01
    13    8.28506E+02    3.24139E-03    0.00000E+00    9.34857E-01
    14    8.35425E+02    3.00696E-03    0.00000E+00    9.75012E-01
    15    8.42606E+02    3.02239E-03    0.00000E+00    1.02762E+00
    16    8.51786E+02    3.21279E-03    0.00000E+00    1.08899E+00
    17    8.62792E+02    3.52260E-03    0.00000E+00    1.15236E+00
    18    8.74460E+02    3.92194E-03    0.00000E+00    1.21310E+00
    19    8.87535E+02    4.44623E-03    0.00000E+00    1.27342E+00
    20    9.00393E+02    5.12393E-03    0.00000E+00    1.32841E+00
    21    9.13729E+02    5.97082E-03    0.00000E+00    1.38474E+00
    22    9.27569E+02    7.00739E-03    0.00000E+00    1.44531E+00
    23    9.41517E+02    8.21330E-03    0.00000E+00    1.50963E+00
    24    9.55882E+02    9.57116E-03    0.00000E+00    1.57613E+00
    25    9.70796E+02    1.10851E-02    0.00000E+00    1.63769E+00
    26    9.85772E+02    1.27677E-02    0.00000E+00    1.69788E+00
    27    1.00122E+03    1.46181E-02    0.00000E+00    1.75557E+00
    28    1.01696E+03    1.66178E-02    0.00000E+00    1.80393E+00
    29    1.03292E+03    1.87886E-02    0.00000E+00    1.84699E+00
    30    1.04930E+03    2.11568E-02    0.00000E+00    1.87725E+00
    31    1.06549E+03    2.37164E-02    0.00000E+00    1.90405E+00
    32    1.08231E+03    2.64848E-02    0.00000E+00    1.92127E+00
    33    1.09921E+03    2.94372E-02    0.00000E+00    1.92856E+00
    34    1.11618E+03    3.26141E-02    0.00000E+00    1.92879E+00
    35    1.13379E+03    3.60216E-02    0.00000E+00    1.91513E+00
    36    1.15112E+03    3.96798E-02    0.00000E+00    1.89944E+00
    37    1.16872E+03    4.35918E-02    0.00000E+00    1.87431E+00
    38    1.18669E+03    4.77285E-02    0.00000E+00    1.83977E+00
    39    1.20492E+03    5.20978E-02    0.00000E+00    1.79532E+00
    40    1.22335E+03    5.67194E-02    0.00000E+00    1.73930E+00
    41    1.24188E+03    6.16102E-02    0.00000E+00    1.67062E+00
    42    1.26051E+03    6.67751E-02    0.00000E+00    1.59035E+00
    43    1.27926E+03    7.22156E-02    0.00000E+00    1.49967E+00
    44    1.29818E+03    7.79312E-02    0.00000E+00    1.39820E+00
    45    1.31734E+03    8.39185E-02    0.00000E+00    1.28523E+00
    46    1.33670E+03    9.01740E-02    0.00000E+00    1.16048E+00
    47    1.35625E+03    9.67039E-02    0.00000E+00    1.02356E+00
    48    1.37596E+03    1.03511E-01    0.00000E+00    8.74013E-01
    49    1.39581E+03    1.10595E-01    0.00000E+00    7.11453E-01
    50    1.41587E+03    1.17971E-01    0.00000E+00    5.35642E-01
    51    1.43620E+03    1.25649E-01    0.00000E+00    3.46562E-01
    52    1.45673E+03    1.33631E-01    0.00000E+00    1.44879E-01
    53    1.47739E+03    1.41913E-01    0.00000E+00   -6.87792E-02
    54    1.49817E+03    1.50495E-01    0.00000E+00   -2.94644E-01
