#    L    TT             EE             BB             TE         
     2    1.06177E+03    3.80011E-02    5.41466E-04    2.90604E+00
     3    1.00043E+03    5.41289E-02    5.69922E-04    3.38941E+00
     4    9.43424E+02    5.29239E-02    5.12969E-04    3.30427E+00
     5    9.00437E+02    4.04733E-02    4.14715E-04    2.92271E+00
     6    8.70403E+02    2.57570E-02    3.11199E-04    2.43877E+00
     7    8.50679E+02    1.45897E-02    2.24356E-04    1.96783E+00
     8    8.38312E+02    8.37686E-03    1.62769E-04    1.57070E+00
     9    8.31729E+02    5.77345E-03    1.26375E-04    1.26832E+00
    10    8.29481E+02    4.84483E-03    1.10849E-04    1.06468E+00
    11    8.30120E+02    4.32458E-03    1.10530E-04    9.51461E-01
    12    8.34236E+02    3.81267E-03    1.20425E-04    9.14039E-01
    13    8.39819E+02    3.37928E-03    1.36580E-04    9.28158E-01
    14    8.46764E+02    3.16644E-03    1.56461E-04    9.67706E-01
    15    8.53985E+02    3.20500E-03    1.78566E-04    1.01960E+00
    16    8.63209E+02    3.41967E-03    2.02109E-04    1.08010E+00
    17    8.74254E+02    3.75484E-03    2.26760E-04    1.14247E+00
    18    8.85947E+02    4.18062E-03    2.52310E-04    1.20211E+00
    19    8.99034E+02    4.73239E-03    2.78705E-04    1.26126E+00
    20    9.11892E+02    5.43860E-03    3.05928E-04    1.31502E+00
    21    9.25219E+02    6.31505E-03    3.33941E-04    1.37006E+00
    22    9.39043E+02    7.38223E-03    3.62700E-04    1.42925E+00
    23    9.52969E+02    8.61974E-03    3.92152E-04    1.49212E+00
    24    9.67305E+02    1.00101E-02    4.22238E-04    1.55711E+00
    25    9.82185E+02    1.15574E-02    4.52899E-04    1.61711E+00
    26    9.97122E+02    1.32740E-02    4.84085E-04    1.67568E+00
    27    1.01252E+03    1.51589E-02    5.15795E-04    1.73174E+00
    28    1.02821E+03    1.71937E-02    5.48033E-04    1.77843E+00
    29    1.04412E+03    1.94004E-02    5.80775E-04    1.81979E+00
    30    1.06044E+03    2.18056E-02    6.13989E-04    1.84830E+00
    31    1.07657E+03    2.44033E-02    6.47634E-04    1.87330E+00
    32    1.09332E+03    2.72106E-02    6.81665E-04    1.88871E+00
