#    L    TT             EE             BB             TE             PP             PT             PE         
     2    1.20698E+03    4.10146E-02    5.77747E-03    3.05664E+00    5.06023E-08    3.10907E-03   -1.35887E-05
     3    1.11703E+03    5.75229E-02    6.08283E-03    3.36333E+00    6.15797E-08    3.10836E-03   -1.54512E-05
     4    1.05316E+03    5.61551E-02    5.47776E-03    3.22574E+00    7.09454E-08    3.03297E-03   -1.42216E-05
     5    1.00778E+03    4.31466E-02    4.43277E-03    2.83269E+00    7.90648E-08    2.92988E-03   -1.11103E-05
     6    9.76984E+02    2.77666E-02    3.33225E-03    2.35346E+00    8.61492E-08    2.81885E-03   -7.16578E-06
     7    9.57286E+02    1.60390E-02    2.41021E-03    1.89196E+00    9.23851E-08    2.70966E-03   -3.26322E-06
     8    9.45292E+02    9.46329E-03    1.75816E-03    1.50330E+00    9.79020E-08    2.60261E-03   -6.72104E-08
     9    9.39273E+02    6.70033E-03    1.37546E-03    1.20669E+00    1.02811E-07    2.49691E-03    2.02684E-06
    10    9.37677E+02    5.77020E-03    1.21597E-03    1.00615E+00    1.07182E-07    2.39461E-03    2.95954E-06
    11    9.38910E+02    5.35236E-03    1.21929E-03    8.92861E-01    1.11110E-07    2.30054E-03    2.95153E-06
    12    9.43428E+02    5.00674E-03    1.33220E-03    8.52752E-01    1.14599E-07    2.21416E-03    2.31156E-06
    13    9.49279E+02    4.76778E-03    1.51248E-03    8.63376E-01    1.17752E-07    2.13850E-03    1.30678E-06
    14    9.56485E+02    4.77228E-03    1.73315E-03    8.97052E-01    1.20558E-07    2.06629E-03    1.75884E-07
    15    9.64102E+02    5.04368E-03    1.97815E-03    9.42036E-01    1.23092E-07    1.99780E-03   -8.11493E-07
    16    9.73774E+02    5.50281E-03    2.23912E-03    9.94168E-01    1.25358E-07    1.93000E-03   -1.39238E-06
    17    9.85212E+02    6.09357E-03    2.51254E-03    1.04681E+00    1.27384E-07    1.86421E-03   -1.55007E-06
    18    9.97169E+02    6.78595E-03    2.79617E-03    1.09577E+00    1.29204E-07    1.80271E-03   -1.36278E-06
    19    1.01039E+03    7.61511E-03    3.08945E-03    1.14357E+00    1.30828E-07    1.74514E-03   -1.03589E-06
    20    1.02327E+03    8.60929E-03    3.39219E-03    1.18545E+00    1.32266E-07    1.69060E-03   -7.55824E-07
    21    1.03653E+03    9.78443E-03    3.70400E-03    1.22797E+00    1.33538E-07    1.63861E-03   -5.17376E-07
    22    1.05022E+03    1.11611E-02    4.02440E-03    1.27381E+00    1.34666E-07    1.58888E-03   -2.87651E-07
    23    1.06395E+03    1.27183E-02    4.35283E-03    1.32263E+00    1.35659E-07    1.54154E-03   -1.10672E-07
    24    1.07803E+03    1.44378E-02    4.68866E-03    1.37298E+00    1.36525E-07    1.49672E-03   -4.48166E-08
    25    1.09260E+03    1.63228E-02    5.03127E-03    1.41783E+00    1.37273E-07    1.45436E-03   -1.30869E-07
    26    1.10718E+03    1.83843E-02    5.38012E-03    1.46079E+00    1.37917E-07    1.41425E-03   -3.71750E-07
