#    L    TT             EE             BB             TE         
     2    1.20698E+03    4.10128E-02    5.77564E-03    3.05664E+00
     3    1.11702E+03    5.75193E-02    6.07917E-03    3.36333E+00
     4    1.05315E+03    5.61490E-02    5.47166E-03    3.22574E+00
     5    1.00776E+03    4.31375E-02    4.42363E-03    2.83269E+00
     6    9.76961E+02    2.77538E-02    3.31945E-03    2.35346E+00
     7    9.57255E+02    1.60220E-02    2.39314E-03    1.89196E+00
     8    9.45253E+02    9.44133E-03    1.73620E-03    1.50330E+00
     9    9.39224E+02    6.67287E-03    1.34800E-03    1.20669E+00
    10    9.37617E+02    5.73662E-03    1.18239E-03    1.00616E+00
    11    9.38839E+02    5.31205E-03    1.17898E-03    8.92875E-01
    12    9.43344E+02    4.95908E-03    1.28454E-03    8.52771E-01
    13    9.49182E+02    4.71215E-03    1.45685E-03    8.63402E-01
    14    9.56373E+02    4.70806E-03    1.66892E-03    8.97087E-01
    15    9.63975E+02    4.97024E-03    1.90470E-03    9.42081E-01
    16    9.73631E+02    5.41954E-03    2.15583E-03    9.94226E-01
    17    9.85051E+02    5.99984E-03    2.41878E-03    1.04688E+00
    18    9.96990E+02    6.68113E-03    2.69130E-03    1.09586E+00
    19    1.01019E+03    7.49857E-03    2.97285E-03    1.14367E+00
    20    1.02305E+03    8.48041E-03    3.26323E-03    1.18559E+00
    21    1.03629E+03    9.64257E-03    3.56203E-03    1.22813E+00
    22    1.04996E+03    1.10056E-02    3.86880E-03    1.27400E+00
    23    1.06367E+03    1.25486E-02    4.18295E-03    1.32285E+00
    24    1.07773E+03    1.42533E-02    4.50387E-03    1.37324E+00
    25    1.09228E+03    1.61227E-02    4.83092E-03    1.41813E+00
    26    1.10683E+03    1.81681E-02    5.16357E-03    1.46113E+00
    27    1.12180E+03    2.03872E-02    5.50181E-03    1.50132E+00
    28    1.13701E+03    2.27607E-02    5.84568E-03    1.53194E+00
    29    1.15239E+03    2.53141E-02    6.19494E-03    1.55688E+00
    30    1.16814E+03    2.80772E-02    6.54922E-03    1.56844E+00
    31    1.18365E+03    3.10431E-02    6.90810E-03    1.57611E+00
    32    1.19975E+03    3.42267E-02    7.27109E-03    1.57394E+00
    33    1.21589E+03    3.75999E-02    7.63766E-03    1.56166E+00
    34    1.23205E+03    4.12004E-02    8.00712E-03    1.54217E+00
    35    1.24880E+03    4.50357E-02    8.37826E-03    1.50868E+00
    36    1.26525E+03    4.91281E-02    8.75013E-03    1.47308E+00
    37    1.28192E+03    5.34809E-02    9.12337E-03    1.42805E+00
    38    1.29893E+03    5.80645E-02    9.49862E-03    1.37370E+00
    39    1.31617E+03    6.28857E-02    9.87499E-03    1.30954E+00
    40    1.33357E+03    6.79628E-02    1.02512E-02    1.23392E+00
    41    1.35104E+03    7.33115E-02    1.06260E-02    1.14574E+00
    42    1.36858E+03    7.89362E-02    1.09992E-02    1.04609E+00
    43    1.38622E+03    8.48386E-02    1.13702E-02    9.36230E-01
    44    1.40399E+03    9.10181E-02    1.17390E-02    8.15782E-01
    45    1.42197E+03    9.74712E-02    1.21051E-02    6.84083E-01
    46    1.44013E+03    1.04194E-01    1.24684E-02    5.40897E-01
    47    1.45845E+03    1.11193E-01    1.28282E-02    3.85855E-01
    48    1.47691E+03    1.18469E-01    1.31842E-02    2.18538E-01
    49    1.49550E+03    1.26024E-01    1.35358E-02    3.86023E-02
    50    1.51427E+03    1.33869E-01    1.38826E-02   -1.54159E-01
    51    1.53328E+03    1.42016E-01    1.42242E-02   -3.59732E-01
    52    1.55249E+03    1.50466E-01    1.45601E-02   -5.77434E-01
    53    1.57181E+03    1.59215E-01    1.48902E-02   -8.06623E-01
    54    1.59123E+03    1.68260E-01    1.52142E-02   -1.04752E+00
    55    1.61074E+03    1.77599E-01    1.55319E-02   -1.30070E+00
    56    1.63045E+03    1.87226E-01    1.58429E-02   -1.56730E+00
    57    1.65047E+03    1.97136E-01    1.61469E-02   -1.84794E+00
    58    1.67075E+03    2.07331E-01    1.64436E-02   -2.14251E+00
    59    1.69122E+03    2.17810E-01    1.67326E-02   -2.45055E+00
    60    1.71185E+03    2.28568E-01    1.70136E-02   -2.77124E+00
    61    1.73266E+03    2.39598E-01    1.72862E-02   -3.10382E+00
    62    1.75364E+03    2.50898E-01    1.75503E-02   -3.44834E+00
    63    1.77483E+03    2.62464E-01    1.78058E-02   -3.80507E+00
    64    1.79622E+03    2.74294E-01    1.80524E-02   -4.17423E+00
    65    1.81785E+03    2.86387E-01    1.82901E-02   -4.55616E+00
    66    1.83975E+03    2.98736E-01    1.85187E-02   -4.95114E+00
    67    1.86189E+03    3.11333E-01    1.87379E-02   -5.35860E+00
    68    1.88426E+03    3.24167E-01    1.89476E-02   -5.77777E+00
    69    1.90679E+03    3.37228E-01    1.91475E-02   -6.20788E+00
    70    1.92947E+03    3.50509E-01    1.93375E-02   -6.64836E+00
    71    1.95226E+03    3.64005E-01    1.95174E-02   -7.09899E+00
    72    1.97528E+03    3.77712E-01    1.96871E-02   -7.56075E+00
    73    1.99866E+03    3.91625E-01    1.98468E-02   -8.03470E+00
    74    2.02239E+03    4.05733E-01    1.99963E-02   -8.52083E+00
    75    2.04649E+03    4.20026E-01    2.01358E-02   -9.01880E+00
    76    2.07091E+03    4.34489E-01    2.02652E-02   -9.52814E+00
    77    2.09553E+03    4.49111E-01    2.03845E-02   -1.00474E+01
    78    2.12033E+03    4.63881E-01    2.04937E-02   -1.05761E+01
    79    2.14535E+03    4.78784E-01    2.05927E-02   -1.11140E+01
    80    2.17062E+03    4.93811E-01    2.06814E-02   -1.16610E+01
    81    2.19616E+03    5.08948E-01    2.07598E-02   -1.22170E+01
    82    2.22198E+03    5.24187E-01    2.08279E-02   -1.27815E+01
    83    2.24805E+03    5.39515E-01    2.08857E-02   -1.33543E+01
    84    2.27439E+03    5.54922E-01    2.09332E-02   -1.39347E+01
    85    2.30098E+03    5.70397E-01    2.09706E-02   -1.45227E+01
    86    2.32782E+03    5.85932E-01    2.09978E-02   -1.51175E+01
    87    2.35488E+03    6.01511E-01    2.10148E-02   -1.57188E+01
    88    2.38213E+03    6.17121E-01    2.10218E-02   -1.63261E+01
    89    2.40960E+03    6.32750E-01    2.10187E-02   -1.69387E+01
    90    2.43728E+03    6.48379E-01    2.10058E-02   -1.75566E+01
    91    2.46519E+03    6.63993E-01    2.09830E-02   -1.81792E+01
    92    2.49332E+03    6.79580E-01    2.09506E-02   -1.88062E+01
    93    2.52169E+03    6.95123E-01    2.09087E-02   -1.94373E+01
    94    2.55029E+03    7.10611E-01    2.08575E-02   -2.00721E+01
    95    2.57915E+03    7.26028E-01    2.07973E-02   -2.07102E+01
    96    2.60824E+03    7.41361E-01    2.07282E-02   -2.13513E+01
    97    2.63758E+03    7.56595E-01    2.06505E-02   -2.19948E+01
    98    2.66717E+03    7.71714E-01    2.05644E-02   -2.26405E+01
    99    2.69699E+03    7.86706E-01    2.04699E-02   -2.32877E+01
   100    2.72705E+03    8.01558E-01    2.03675E-02   -2.39360E+01
   101    2.75735E+03    8.16256E-01    2.02571E-02   -2.45849E+01
   102    2.78789E+03    8.30778E-01    2.01392E-02   -2.52342E+01
   103    2.81865E+03    8.45124E-01    2.00137E-02   -2.58830E+01
   104    2.84964E+03    8.59265E-01    1.98811E-02   -2.65311E+01
   105    2.88084E+03    8.73194E-01    1.97413E-02   -2.71778E+01
   106    2.91225E+03    8.86896E-01    1.95948E-02   -2.78225E+01
   107    2.94387E+03    9.00364E-01    1.94416E-02   -2.84648E+01
   108    2.97567E+03    9.13576E-01    1.92819E-02   -2.91042E+01
   109    3.00768E+03    9.26526E-01    1.91160E-02   -2.97401E+01
   110    3.03986E+03    9.39191E-01    1.89441E-02   -3.03719E+01
   111    3.07222E+03    9.51564E-01    1.87663E-02   -3.09992E+01
   112    3.10475E+03    9.63637E-01    1.85830E-02   -3.16212E+01
   113    3.13745E+03    9.75389E-01    1.83943E-02   -3.22377E+01
   114    3.17031E+03    9.86805E-01    1.82005E-02   -3.28479E+01
   115    3.20331E+03    9.97884E-01    1.80020E-02   -3.34512E+01
   116    3.23646E+03    1.00861E+00    1.77989E-02   -3.40472E+01
   117    3.26974E+03    1.01897E+00    1.75915E-02   -3.46353E+01
   118    3.30315E+03    1.02895E+00    1.73801E-02   -3.52148E+01
   119    3.33667E+03    1.03854E+00    1.71649E-02   -3.57853E+01
   120    3.37030E+03    1.04774E+00    1.69462E-02   -3.63462E+01
   121    3.40404E+03    1.05653E+00    1.67243E-02   -3.68969E+01
   122    3.43786E+03    1.06490E+00    1.64993E-02   -3.74370E+01
   123    3.47176E+03    1.07285E+00    1.62716E-02   -3.79658E+01
