#    L    TT             EE             BB             TE          
     2   0.154905E+04   0.481178E-01   0.180498E-01   0.342233E+01
     3   0.139193E+04   0.655055E-01   0.190014E-01   0.331343E+01
     4   0.131188E+04   0.637463E-01   0.171061E-01   0.305163E+01
     5   0.126080E+04   0.494143E-01   0.138341E-01   0.263059E+01
     6   0.122814E+04   0.324593E-01   0.103868E-01   0.216151E+01
     7   0.120844E+04   0.194002E-01   0.749562E-02   0.172139E+01
     8   0.119727E+04   0.119570E-01   0.544689E-02   0.135197E+01
     9   0.119252E+04   0.880269E-02   0.423869E-02   0.106843E+01
    10   0.119240E+04   0.785032E-02   0.372689E-02   0.874974E+00
    11   0.119498E+04   0.765265E-02   0.372265E-02   0.761438E+00
    12   0.120024E+04   0.776059E-02   0.405578E-02   0.716951E+00
    13   0.120682E+04   0.787069E-02   0.460559E-02   0.717476E+00
    14   0.121425E+04   0.834930E-02   0.527585E-02   0.737321E+00
    15   0.122307E+04   0.915383E-02   0.602198E-02   0.766224E+00
    16   0.123380E+04   0.101321E-01   0.681636E-02   0.798587E+00
    17   0.124604E+04   0.113225E-01   0.764766E-02   0.828847E+00
    18   0.125850E+04   0.126273E-01   0.850971E-02   0.853980E+00
    19   0.127202E+04   0.140601E-01   0.940071E-02   0.874326E+00
    20   0.128501E+04   0.157038E-01   0.103198E-01   0.888844E+00
    21   0.129792E+04   0.175392E-01   0.112659E-01   0.901927E+00
    22   0.131112E+04   0.196001E-01   0.122374E-01   0.916969E+00
    23   0.132444E+04   0.218769E-01   0.132326E-01   0.932815E+00
    24   0.133794E+04   0.243240E-01   0.142496E-01   0.947296E+00
    25   0.135161E+04   0.269675E-01   0.152863E-01   0.958657E+00
    26   0.136530E+04   0.298052E-01   0.163411E-01   0.966521E+00
    27   0.137923E+04   0.328129E-01   0.174140E-01   0.968408E+00
    28   0.139328E+04   0.359947E-01   0.185051E-01   0.962669E+00
    29   0.140748E+04   0.393755E-01   0.196137E-01   0.947967E+00
    30   0.142174E+04   0.429883E-01   0.207385E-01   0.922300E+00
    31   0.143595E+04   0.468386E-01   0.218783E-01   0.887029E+00
    32   0.145039E+04   0.509138E-01   0.230316E-01   0.843517E+00
    33   0.146505E+04   0.552054E-01   0.241967E-01   0.789940E+00
    34   0.147974E+04   0.597218E-01   0.253715E-01   0.725424E+00
    35   0.149444E+04   0.644870E-01   0.265521E-01   0.653058E+00
    36   0.150909E+04   0.695274E-01   0.277355E-01   0.574810E+00
    37   0.152372E+04   0.748303E-01   0.289239E-01   0.488061E+00
    38   0.153864E+04   0.803832E-01   0.301192E-01   0.391528E+00
    39   0.155385E+04   0.861871E-01   0.313185E-01   0.285009E+00
    40   0.156906E+04   0.922521E-01   0.325179E-01   0.168366E+00
    41   0.158441E+04   0.985916E-01   0.337138E-01   0.411792E-01
    42   0.159966E+04   0.105213E+00   0.349049E-01  -0.972865E-01
    43   0.161495E+04   0.112123E+00   0.360901E-01  -0.247828E+00
    44   0.163015E+04   0.119313E+00   0.372687E-01  -0.410350E+00
    45   0.164562E+04   0.126785E+00   0.384398E-01  -0.584683E+00
    46   0.166128E+04   0.134541E+00   0.396023E-01  -0.772445E+00
    47   0.167702E+04   0.142578E+00   0.407549E-01  -0.972521E+00
    48   0.169275E+04   0.150897E+00   0.418960E-01  -0.118046E+01
    49   0.170857E+04   0.159479E+00   0.430242E-01  -0.139239E+01
    50   0.172471E+04   0.168295E+00   0.441378E-01  -0.161125E+01
    51   0.174096E+04   0.177314E+00   0.452355E-01  -0.184146E+01
    52   0.175754E+04   0.186621E+00   0.463164E-01  -0.208784E+01
    53   0.177407E+04   0.196364E+00   0.473797E-01  -0.235344E+01
    54   0.179048E+04   0.206537E+00   0.484244E-01  -0.263336E+01
    55   0.180698E+04   0.217116E+00   0.494499E-01  -0.292258E+01
    56   0.182379E+04   0.227958E+00   0.504552E-01  -0.322230E+01
    57   0.184086E+04   0.238952E+00   0.514392E-01  -0.353229E+01
    58   0.185818E+04   0.250103E+00   0.524010E-01  -0.385324E+01
    59   0.187563E+04   0.261445E+00   0.533394E-01  -0.418581E+01
    60   0.189322E+04   0.273029E+00   0.542533E-01  -0.452925E+01
    61   0.191126E+04   0.284945E+00   0.551417E-01  -0.488270E+01
    62   0.192916E+04   0.297179E+00   0.560040E-01  -0.524710E+01
    63   0.194714E+04   0.309694E+00   0.568399E-01  -0.562352E+01
