#    L    TT             EE             BB             TE          
     2   0.500711E+03   0.103852E-01   0.180489E-01   0.519281E+00
     3   0.402037E+03   0.116909E-01   0.189974E-01  -0.899263E-01
     4   0.378376E+03   0.111213E-01   0.170990E-01  -0.270806E+00
     5   0.370093E+03   0.918694E-02   0.138238E-01  -0.310419E+00
     6   0.367442E+03   0.688557E-02   0.103733E-01  -0.294173E+00
     7   0.367504E+03   0.493883E-02   0.747855E-02  -0.261624E+00
     8   0.368761E+03   0.367059E-02   0.542564E-02  -0.232390E+00
     9   0.370672E+03   0.310146E-02   0.421249E-02  -0.212510E+00
    10   0.372882E+03   0.307515E-02   0.369497E-02  -0.201762E+00
    11   0.374891E+03   0.340507E-02   0.368433E-02  -0.202020E+00
    12   0.376236E+03   0.395314E-02   0.401418E-02  -0.211269E+00
    13   0.377113E+03   0.459613E-02   0.455266E-02  -0.223296E+00
    14   0.377964E+03   0.531594E-02   0.521537E-02  -0.243515E+00
    15   0.379277E+03   0.608704E-02   0.595219E-02  -0.267313E+00
    16   0.380763E+03   0.689610E-02   0.673697E-02  -0.296127E+00
    17   0.382060E+03   0.774135E-02   0.755868E-02  -0.329614E+00
    18   0.382906E+03   0.862246E-02   0.841033E-02  -0.366376E+00
    19   0.383298E+03   0.953856E-02   0.929017E-02  -0.405467E+00
    20   0.383300E+03   0.104890E-01   0.101976E-01  -0.446320E+00
    21   0.383000E+03   0.114742E-01   0.111314E-01  -0.489428E+00
    22   0.382473E+03   0.124945E-01   0.120900E-01  -0.535331E+00
    23   0.381731E+03   0.135478E-01   0.130717E-01  -0.583694E+00
    24   0.380775E+03   0.146316E-01   0.140746E-01  -0.634033E+00
    25   0.379625E+03   0.157424E-01   0.150966E-01  -0.686147E+00
    26   0.378304E+03   0.168765E-01   0.161362E-01  -0.739825E+00
    27   0.376818E+03   0.180286E-01   0.171932E-01  -0.794552E+00
    28   0.375170E+03   0.191966E-01   0.182678E-01  -0.849967E+00
    29   0.373355E+03   0.203919E-01   0.193592E-01  -0.906617E+00
    30   0.371373E+03   0.216260E-01   0.204663E-01  -0.965039E+00
    31   0.369247E+03   0.228958E-01   0.215878E-01  -0.102482E+01
    32   0.366998E+03   0.241935E-01   0.227222E-01  -0.108540E+01
    33   0.364615E+03   0.255085E-01   0.238677E-01  -0.114656E+01
    34   0.362083E+03   0.268321E-01   0.250223E-01  -0.120818E+01
    35   0.359419E+03   0.281690E-01   0.261821E-01  -0.127017E+01
    36   0.356642E+03   0.295259E-01   0.273442E-01  -0.133237E+01
    37   0.353756E+03   0.309033E-01   0.285105E-01  -0.139455E+01
    38   0.350760E+03   0.323000E-01   0.296832E-01  -0.145646E+01
    39   0.347657E+03   0.337123E-01   0.308593E-01  -0.151805E+01
    40   0.344449E+03   0.351356E-01   0.320349E-01  -0.157933E+01
    41   0.341139E+03   0.365664E-01   0.332064E-01  -0.164028E+01
    42   0.337732E+03   0.380036E-01   0.343724E-01  -0.170079E+01
    43   0.334231E+03   0.394472E-01   0.355320E-01  -0.176075E+01
    44   0.330641E+03   0.408967E-01   0.366844E-01  -0.182006E+01
    45   0.326967E+03   0.423522E-01   0.378286E-01  -0.187858E+01
    46   0.323213E+03   0.438129E-01   0.389636E-01  -0.193621E+01
    47   0.319383E+03   0.452778E-01   0.400881E-01  -0.199284E+01
    48   0.315482E+03   0.467452E-01   0.412006E-01  -0.204836E+01
    49   0.311513E+03   0.482136E-01   0.422995E-01  -0.210266E+01
    50   0.307482E+03   0.496815E-01   0.433832E-01  -0.215563E+01
    51   0.303391E+03   0.511473E-01   0.444505E-01  -0.220717E+01
    52   0.299246E+03   0.526094E-01   0.455004E-01  -0.225723E+01
    53   0.295050E+03   0.540662E-01   0.465319E-01  -0.230576E+01
    54   0.290807E+03   0.555162E-01   0.475445E-01  -0.235273E+01
    55   0.286522E+03   0.569577E-01   0.485371E-01  -0.239808E+01
    56   0.282197E+03   0.583893E-01   0.495089E-01  -0.244178E+01
    57   0.277835E+03   0.598103E-01   0.504590E-01  -0.248374E+01
    58   0.273439E+03   0.612203E-01   0.513861E-01  -0.252390E+01
    59   0.269012E+03   0.626188E-01   0.522893E-01  -0.256216E+01
    60   0.264554E+03   0.640053E-01   0.531674E-01  -0.259847E+01
    61   0.260071E+03   0.653791E-01   0.540194E-01  -0.263274E+01
    62   0.255565E+03   0.667391E-01   0.548448E-01  -0.266501E+01
    63   0.251042E+03   0.680839E-01   0.556431E-01  -0.269529E+01
    64   0.246507E+03   0.694120E-01   0.564139E-01  -0.272363E+01
    65   0.241965E+03   0.707222E-01   0.571566E-01  -0.275004E+01
    66   0.237421E+03   0.720129E-01   0.578708E-01  -0.277453E+01
    67   0.232876E+03   0.732826E-01   0.585559E-01  -0.279704E+01
    68   0.228332E+03   0.745295E-01   0.592111E-01  -0.281747E+01
    69   0.223791E+03   0.757521E-01   0.598360E-01  -0.283571E+01
    70   0.219254E+03   0.769485E-01   0.604297E-01  -0.285168E+01
    71   0.214722E+03   0.781177E-01   0.609918E-01  -0.286532E+01
    72   0.210201E+03   0.792605E-01   0.615223E-01  -0.287673E+01
    73   0.205693E+03   0.803781E-01   0.620211E-01  -0.288606E+01
    74   0.201202E+03   0.814718E-01   0.624885E-01  -0.289346E+01
    75   0.196733E+03   0.825429E-01   0.629243E-01  -0.289908E+01
    76   0.192289E+03   0.835920E-01   0.633288E-01  -0.290300E+01
    77   0.187871E+03   0.846162E-01   0.637017E-01  -0.290517E+01
