#  L 		 TT 		 EE 		 BB 		 TE 		 TB 		 EB
   2    -9.40302e-01     1.06505e-01     4.47862e-02    -2.89906e-01     1.95916e-06    -1.79469e-01
   3    -1.07953e+00     1.09356e-01     4.62761e-02    -2.80850e-01     1.31535e-05    -1.55141e-01
   4    -1.21081e+00     1.13141e-01     4.82732e-02    -2.67457e-01     5.17507e-05    -1.22318e-01
   5    -1.29449e+00     1.17830e-01     5.07785e-02    -2.48610e-01     1.52581e-04    -8.07807e-02
   6    -1.28897e+00     1.23368e-01     5.37823e-02    -2.22943e-01     3.70680e-04    -3.04035e-02
   7    -1.15486e+00     1.29661e-01     5.72577e-02    -1.88886e-01     7.80344e-04     2.87304e-02
   8    -5.97876e+01     9.50608e+00     4.25654e+00    -1.00745e+01     1.02195e-01     6.69516e+00
   9    -1.55963e+01     5.94390e+00     2.70052e+00    -3.66749e+00     1.04086e-01     7.06344e+00
  10     8.11507e+00     4.08560e+00     1.88391e+00    -5.26515e-01     1.07986e-01     6.78684e+00
  11     2.23111e+01     3.01751e+00     1.41180e+00     1.22014e+00     1.12869e-01     6.36845e+00
  12     3.17784e+01     2.36496e+00     1.12178e+00     2.32245e+00     1.18404e-01     5.96829e+00
  13     3.88405e+01     1.94578e+00     9.34267e-01     3.11763e+00     1.24091e-01     5.61634e+00
  14     4.47654e+01     1.66849e+00     8.09052e-01     3.77182e+00     1.29505e-01     5.31009e+00
  15     5.03925e+01     1.48538e+00     7.25000e-01     4.37996e+00     1.34306e-01     5.04059e+00
  16     5.63417e+01     1.36933e+00     6.69814e-01     5.00176e+00     1.37965e-01     4.79114e+00
  17     6.30932e+01     1.30382e+00     6.35617e-01     5.67487e+00     1.39519e-01     4.53604e+00
  18     7.09751e+01     1.27751e+00     6.16478e-01     6.41520e+00     1.37294e-01     4.23822e+00
  19     8.03351e+01     1.28485e+00     6.08852e-01     7.23208e+00     1.29135e-01     3.86191e+00
  20     9.10443e+01     1.31654e+00     6.07159e-01     8.08371e+00     1.11653e-01     3.35273e+00
  21     1.02594e+02     1.36260e+00     6.05782e-01     8.89028e+00     8.13390e-02     2.66883e+00
  22     1.13589e+02     1.40595e+00     5.96955e-01     9.50197e+00     3.57174e-02     1.79473e+00
  23     1.21601e+02     1.42182e+00     5.71798e-01     9.71230e+00    -2.37957e-02     7.80568e-01
  24     1.24047e+02     1.38725e+00     5.25176e-01     9.36003e+00    -8.92891e-02    -2.32114e-01
  25     1.19770e+02     1.29526e+00     4.60169e-01     8.45542e+00    -1.48152e-01    -1.05732e+00
  26     1.10014e+02     1.16127e+00     3.87431e-01     7.20699e+00    -1.89786e-01    -1.56854e+00
  27     9.75713e+01     1.01276e+00     3.18752e-01     5.89470e+00    -2.11065e-01    -1.76022e+00
  28     8.49897e+01     8.72263e-01     2.61088e-01     4.71856e+00    -2.15308e-01    -1.71183e+00
  29     7.37657e+01     7.51417e-01     2.16194e-01     3.76233e+00    -2.08187e-01    -1.52057e+00
  30     6.44268e+01     6.52917e-01     1.82769e-01     3.02856e+00    -1.94703e-01    -1.26186e+00
  31     5.69324e+01     5.74740e-01     1.58489e-01     2.48376e+00    -1.78221e-01    -9.82154e-01
  32     5.10599e+01     5.13784e-01     1.41244e-01     2.08891e+00    -1.60834e-01    -7.07053e-01
  33     4.65075e+01     4.66622e-01     1.29294e-01     1.80782e+00    -1.43607e-01    -4.48460e-01
  34     4.30022e+01     4.30411e-01     1.21395e-01     1.61192e+00    -1.27079e-01    -2.11671e-01
  35     4.03012e+01     4.02783e-01     1.16667e-01     1.47891e+00    -1.11488e-01     7.59019e-04
  36     3.82124e+01     3.82002e-01     1.14559e-01     1.39214e+00    -9.70217e-02     1.86507e-01
  37     3.65648e+01     3.66614e-01     1.14691e-01     1.33814e+00    -8.38634e-02     3.42310e-01
  38     3.51952e+01     3.55277e-01     1.16744e-01     1.30515e+00    -7.22609e-02     4.63280e-01
  39     3.39410e+01     3.46598e-01     1.20353e-01     1.28220e+00    -6.25426e-02     5.43118e-01
  40     3.26327e+01     3.38941e-01     1.24951e-01     1.25848e+00    -5.50537e-02     5.75386e-01
  41     3.11401e+01     3.30751e-01     1.29798e-01     1.22522e+00    -5.00762e-02     5.56826e-01
  42     2.93772e+01     3.20506e-01     1.33922e-01     1.17648e+00    -4.75919e-02     4.90378e-01
