#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.104833E+04   0.289627E+01   0.310821E-02   0.289627E+01   0.376850E-01  -0.135880E-04   0.310821E-02  -0.135880E-04   0.506715E-07
     3   0.989883E+03   0.339774E+01   0.310833E-02   0.339774E+01   0.537765E-01  -0.154519E-04   0.310833E-02  -0.154519E-04   0.616679E-07
     4   0.933496E+03   0.331717E+01   0.303354E-02   0.331717E+01   0.525931E-01  -0.142231E-04   0.303354E-02  -0.142231E-04   0.710540E-07
     5   0.890685E+03   0.293589E+01   0.293091E-02   0.293589E+01   0.402009E-01  -0.111105E-04   0.293091E-02  -0.111105E-04   0.791956E-07
     6   0.860674E+03   0.245064E+01   0.282024E-02   0.245064E+01   0.255514E-01  -0.716380E-05   0.282024E-02  -0.716380E-05   0.862990E-07
     7   0.840904E+03   0.197802E+01   0.271129E-02   0.197802E+01   0.144415E-01  -0.326057E-05   0.271129E-02  -0.326057E-05   0.925508E-07
     8   0.828465E+03   0.157940E+01   0.260441E-02   0.157940E+01   0.826703E-02  -0.660119E-07   0.260441E-02  -0.660119E-07   0.980826E-07
     9   0.821796E+03   0.127601E+01   0.249880E-02   0.127601E+01   0.568102E-02   0.202603E-05   0.249880E-02   0.202603E-05   0.103006E-06
    10   0.819458E+03   0.107183E+01   0.239657E-02   0.107183E+01   0.475293E-02   0.295800E-05   0.239657E-02   0.295800E-05   0.107390E-06
    11   0.820015E+03   0.958556E+00   0.230257E-02   0.958556E+00   0.422241E-02   0.295054E-05   0.230257E-02   0.295054E-05   0.111330E-06
    12   0.823960E+03   0.921692E+00   0.221782E-02   0.921692E+00   0.379209E-02   0.231525E-05   0.221782E-02   0.231525E-05   0.114849E-06
    13   0.829611E+03   0.935893E+00   0.214067E-02   0.935893E+00   0.324106E-02   0.130513E-05   0.214067E-02   0.130513E-05   0.117993E-06
    14   0.836057E+03   0.975179E+00   0.206894E-02   0.975179E+00   0.299247E-02   0.165732E-06   0.206894E-02   0.165732E-06   0.120817E-06
    15   0.843669E+03   0.102868E+01   0.200003E-02   0.102868E+01   0.302199E-02  -0.813836E-06   0.200003E-02  -0.813836E-06   0.123351E-06
    16   0.852933E+03   0.109016E+01   0.193204E-02   0.109016E+01   0.318490E-02  -0.139050E-05   0.193204E-02  -0.139050E-05   0.125621E-06
    17   0.863816E+03   0.115359E+01   0.186643E-02   0.115359E+01   0.352243E-02  -0.154891E-05   0.186643E-02  -0.154891E-05   0.127657E-06
    18   0.875405E+03   0.121540E+01   0.180499E-02   0.121540E+01   0.393805E-02  -0.136300E-05   0.180499E-02  -0.136300E-05   0.129483E-06
    19   0.888524E+03   0.127492E+01   0.174738E-02   0.127492E+01   0.444631E-02  -0.103637E-05   0.174738E-02  -0.103637E-05   0.131112E-06
    20   0.901492E+03   0.133032E+01   0.169281E-02   0.133032E+01   0.513055E-02  -0.756642E-06   0.169281E-02  -0.756642E-06   0.132554E-06
    21   0.914679E+03   0.138651E+01   0.164081E-02   0.138651E+01   0.597093E-02  -0.518195E-06   0.164081E-02  -0.518195E-06   0.133829E-06
    22   0.928385E+03   0.144747E+01   0.159107E-02   0.144747E+01   0.700122E-02  -0.286981E-06   0.159107E-02  -0.286981E-06   0.134960E-06
    23   0.942427E+03   0.151171E+01   0.154369E-02   0.151171E+01   0.821368E-02  -0.108622E-06   0.154369E-02  -0.108622E-06   0.135956E-06
    24   0.956869E+03   0.157656E+01   0.149885E-02   0.157656E+01   0.956548E-02  -0.434641E-07   0.149885E-02  -0.434641E-07   0.136823E-06
    25   0.971667E+03   0.164007E+01   0.145647E-02   0.164007E+01   0.110861E-01  -0.131102E-06   0.145647E-02  -0.131102E-06   0.137572E-06
    26   0.986646E+03   0.170165E+01   0.141633E-02   0.170165E+01   0.127770E-01  -0.372962E-06   0.141633E-02  -0.372962E-06   0.138217E-06
    27   0.100205E+04   0.175831E+01   0.137796E-02   0.175831E+01   0.146192E-01  -0.638563E-06   0.137796E-02  -0.638563E-06   0.138765E-06
    28   0.101772E+04   0.180804E+01   0.134098E-02   0.180804E+01   0.166191E-01  -0.792648E-06   0.134098E-02  -0.792648E-06   0.139224E-06
    29   0.103371E+04   0.185005E+01   0.130552E-02   0.185005E+01   0.187900E-01  -0.812751E-06   0.130552E-02  -0.812751E-06   0.139593E-06
    30   0.104992E+04   0.188287E+01   0.127176E-02   0.188287E+01   0.211535E-01  -0.721797E-06   0.127176E-02  -0.721797E-06   0.139874E-06
    31   0.106624E+04   0.190745E+01   0.123952E-02   0.190745E+01   0.237183E-01  -0.611467E-06   0.123952E-02  -0.611467E-06   0.140079E-06
    32   0.108290E+04   0.192460E+01   0.120853E-02   0.192460E+01   0.264794E-01  -0.566596E-06   0.120853E-02  -0.566596E-06   0.140218E-06
    33   0.109992E+04   0.193227E+01   0.117862E-02   0.193227E+01   0.294392E-01  -0.575889E-06   0.117862E-02  -0.575889E-06   0.140296E-06
    34   0.111711E+04   0.192947E+01   0.114967E-02   0.192947E+01   0.326144E-01  -0.600527E-06   0.114967E-02  -0.600527E-06   0.140316E-06
    35   0.113445E+04   0.191918E+01   0.112159E-02   0.191918E+01   0.360244E-01  -0.587730E-06   0.112159E-02  -0.587730E-06   0.140281E-06
    36   0.115185E+04   0.190324E+01   0.109439E-02   0.190324E+01   0.396893E-01  -0.503077E-06   0.109439E-02  -0.503077E-06   0.140197E-06
    37   0.116933E+04   0.187878E+01   0.106853E-02   0.187878E+01   0.435954E-01  -0.399566E-06   0.106853E-02  -0.399566E-06   0.140065E-06
    38   0.118723E+04   0.184427E+01   0.104438E-02   0.184427E+01   0.477317E-01  -0.336108E-06   0.104438E-02  -0.336108E-06   0.139890E-06
    39   0.120550E+04   0.179947E+01   0.102161E-02   0.179947E+01   0.521029E-01  -0.307873E-06   0.102161E-02  -0.307873E-06   0.139674E-06
    40   0.122390E+04   0.174423E+01   0.999727E-03   0.174423E+01   0.567234E-01  -0.294092E-06   0.999727E-03  -0.294092E-06   0.139419E-06
    41   0.124253E+04   0.167812E+01   0.978323E-03   0.167812E+01   0.616105E-01  -0.277822E-06   0.978323E-03  -0.277822E-06   0.139128E-06
    42   0.126115E+04   0.160031E+01   0.957369E-03   0.160031E+01   0.667727E-01  -0.257427E-06   0.957369E-03  -0.257427E-06   0.138801E-06
    43   0.127992E+04   0.150987E+01   0.936930E-03   0.150987E+01   0.722166E-01  -0.235094E-06   0.936930E-03  -0.235094E-06   0.138442E-06
    44   0.129867E+04   0.140679E+01   0.917073E-03   0.140679E+01   0.779335E-01  -0.213011E-06   0.917073E-03  -0.213011E-06   0.138054E-06
    45   0.131778E+04   0.129113E+01   0.897863E-03   0.129113E+01   0.839255E-01  -0.193367E-06   0.897863E-03  -0.193367E-06   0.137638E-06
    46   0.133718E+04   0.116114E+01   0.879343E-03   0.116114E+01   0.901963E-01  -0.179345E-06   0.879343E-03  -0.179345E-06   0.137198E-06
    47   0.135671E+04   0.101785E+01   0.861459E-03   0.101785E+01   0.967436E-01  -0.178114E-06   0.861459E-03  -0.178114E-06   0.136734E-06
    48   0.137631E+04   0.865585E+00   0.844134E-03   0.865585E+00   0.103571E+00  -0.197838E-06   0.844134E-03  -0.197838E-06   0.136249E-06
    49   0.139607E+04   0.708099E+00   0.827291E-03   0.708099E+00   0.110658E+00  -0.246680E-06   0.827291E-03  -0.246680E-06   0.135744E-06
    50   0.141621E+04   0.542362E+00   0.810853E-03   0.542362E+00   0.117980E+00  -0.332804E-06   0.810853E-03  -0.332804E-06   0.135221E-06
    51   0.143652E+04   0.363846E+00   0.794768E-03   0.363846E+00   0.125506E+00  -0.458487E-06   0.794768E-03  -0.458487E-06   0.134682E-06
    52   0.145721E+04   0.167682E+00   0.779086E-03   0.167682E+00   0.133324E+00  -0.602455E-06   0.779086E-03  -0.602455E-06   0.134127E-06
    53   0.147791E+04  -0.492361E-01   0.763880E-03  -0.492361E-01   0.141582E+00  -0.737544E-06   0.763880E-03  -0.737544E-06   0.133557E-06
    54   0.149852E+04  -0.282046E+00   0.749224E-03  -0.282046E+00   0.150277E+00  -0.836594E-06   0.749224E-03  -0.836594E-06   0.132974E-06
    55   0.151928E+04  -0.525768E+00   0.735193E-03  -0.525768E+00   0.159386E+00  -0.872441E-06   0.735193E-03  -0.872441E-06   0.132379E-06
    56   0.154038E+04  -0.781654E+00   0.721834E-03  -0.781654E+00   0.168767E+00  -0.827577E-06   0.721834E-03  -0.827577E-06   0.131772E-06
    57   0.156178E+04  -0.104956E+01   0.709086E-03  -0.104956E+01   0.178310E+00  -0.723100E-06   0.709086E-03  -0.723100E-06   0.131154E-06
