#    L    TT             EE             BB             TE          
     2   0.154904E+04   0.481161E-01   0.180481E-01   0.342233E+01
     3   0.139192E+04   0.655021E-01   0.189980E-01   0.331343E+01
     4   0.131187E+04   0.637406E-01   0.171004E-01   0.305163E+01
     5   0.126078E+04   0.494058E-01   0.138256E-01   0.263059E+01
     6   0.122812E+04   0.324474E-01   0.103749E-01   0.216151E+01
     7   0.120841E+04   0.193843E-01   0.747973E-02   0.172139E+01
     8   0.119723E+04   0.119365E-01   0.542645E-02   0.135197E+01
     9   0.119247E+04   0.877712E-02   0.421313E-02   0.106844E+01
    10   0.119234E+04   0.781906E-02   0.369563E-02   0.874984E+00
    11   0.119491E+04   0.761512E-02   0.368512E-02   0.761452E+00
    12   0.120016E+04   0.771621E-02   0.401140E-02   0.716971E+00
    13   0.120673E+04   0.781890E-02   0.455379E-02   0.717502E+00
    14   0.121414E+04   0.828950E-02   0.521604E-02   0.737356E+00
    15   0.122295E+04   0.908544E-02   0.595358E-02   0.766270E+00
    16   0.123366E+04   0.100545E-01   0.673878E-02   0.798645E+00
    17   0.124588E+04   0.112352E-01   0.756033E-02   0.828919E+00
    18   0.125832E+04   0.125296E-01   0.841204E-02   0.854069E+00
    19   0.127182E+04   0.139515E-01   0.929210E-02   0.874436E+00
    20   0.128479E+04   0.155838E-01   0.101997E-01   0.888976E+00
    21   0.129768E+04   0.174071E-01   0.111336E-01   0.902085E+00
    22   0.131086E+04   0.194553E-01   0.120924E-01   0.917156E+00
    23   0.132416E+04   0.217188E-01   0.130743E-01   0.933035E+00
    24   0.133765E+04   0.241520E-01   0.140774E-01   0.947552E+00
    25   0.135129E+04   0.267811E-01   0.150996E-01   0.958953E+00
    26   0.136495E+04   0.296038E-01   0.161393E-01   0.966862E+00
    27   0.137887E+04   0.325958E-01   0.171965E-01   0.968797E+00
    28   0.139289E+04   0.357614E-01   0.182713E-01   0.963111E+00
    29   0.140706E+04   0.391255E-01   0.193629E-01   0.948466E+00
    30   0.142130E+04   0.427209E-01   0.204702E-01   0.922861E+00
    31   0.143549E+04   0.465531E-01   0.215919E-01   0.887655E+00
    32   0.144990E+04   0.506098E-01   0.227265E-01   0.844215E+00
    33   0.146453E+04   0.548823E-01   0.238722E-01   0.790712E+00
    34   0.147920E+04   0.593790E-01   0.250270E-01   0.726275E+00
    35   0.149387E+04   0.641239E-01   0.261870E-01   0.653993E+00
    36   0.150849E+04   0.691436E-01   0.273493E-01   0.575833E+00
    37   0.152309E+04   0.744251E-01   0.285158E-01   0.489176E+00
    38   0.153799E+04   0.799560E-01   0.296887E-01   0.392739E+00
    39   0.155316E+04   0.857375E-01   0.308650E-01   0.286319E+00
    40   0.156835E+04   0.917795E-01   0.320408E-01   0.169778E+00
    41   0.158367E+04   0.980954E-01   0.332125E-01   0.426979E-01
    42   0.159888E+04   0.104693E+00   0.343787E-01  -0.956590E-01
    43   0.161415E+04   0.111579E+00   0.355385E-01  -0.246089E+00
    44   0.162931E+04   0.118744E+00   0.366910E-01  -0.408498E+00
    45   0.164475E+04   0.126189E+00   0.378354E-01  -0.582717E+00
    46   0.166039E+04   0.133919E+00   0.389707E-01  -0.770363E+00
    47   0.167609E+04   0.141930E+00   0.400953E-01  -0.970323E+00
    48   0.169179E+04   0.150223E+00   0.412080E-01  -0.117814E+01
    49   0.170758E+04   0.158777E+00   0.423070E-01  -0.138996E+01
    50   0.172369E+04   0.167565E+00   0.433910E-01  -0.160871E+01
    51   0.173991E+04   0.176556E+00   0.444584E-01  -0.183881E+01
    52   0.175646E+04   0.185834E+00   0.455084E-01  -0.208507E+01
    53   0.177296E+04   0.195548E+00   0.465401E-01  -0.235057E+01
    54   0.178933E+04   0.205691E+00   0.475528E-01  -0.263039E+01
    55   0.180580E+04   0.216241E+00   0.485455E-01  -0.291951E+01
    56   0.182258E+04   0.227052E+00   0.495175E-01  -0.321914E+01
    57   0.183961E+04   0.238016E+00   0.504677E-01  -0.352905E+01
    58   0.185690E+04   0.249136E+00   0.513950E-01  -0.384992E+01
    59   0.187432E+04   0.260447E+00   0.522983E-01  -0.418242E+01
    60   0.189188E+04   0.272000E+00   0.531765E-01  -0.452581E+01
    61   0.190988E+04   0.283884E+00   0.540287E-01  -0.487920E+01
    62   0.192774E+04   0.296087E+00   0.548542E-01  -0.524357E+01
    63   0.194570E+04   0.308569E+00   0.556526E-01  -0.561997E+01
    64   0.196404E+04   0.321344E+00   0.564234E-01  -0.600968E+01
    65   0.198242E+04   0.334387E+00   0.571662E-01  -0.641338E+01
    66   0.200111E+04   0.347632E+00   0.578805E-01  -0.682928E+01
    67   0.201997E+04   0.361077E+00   0.585657E-01  -0.725465E+01
    68   0.203926E+04   0.374760E+00   0.592210E-01  -0.768786E+01
    69   0.205873E+04   0.388637E+00   0.598459E-01  -0.812720E+01
    70   0.207850E+04   0.402745E+00   0.604397E-01  -0.857437E+01
    71   0.209842E+04   0.417071E+00   0.610019E-01  -0.903180E+01
    72   0.211853E+04   0.431588E+00   0.615324E-01  -0.950083E+01
    73   0.213880E+04   0.446264E+00   0.620313E-01  -0.998205E+01
    74   0.215929E+04   0.461087E+00   0.624987E-01  -0.104746E+02
    75   0.218013E+04   0.476070E+00   0.629346E-01  -0.109768E+02
    76   0.220128E+04   0.491213E+00   0.633391E-01  -0.114882E+02
    77   0.222279E+04   0.506505E+00   0.637120E-01  -0.120085E+02
    78   0.224470E+04   0.521969E+00   0.640532E-01  -0.125388E+02
    79   0.226682E+04   0.537545E+00   0.643625E-01  -0.130754E+02
    80   0.228926E+04   0.553233E+00   0.646397E-01  -0.136195E+02
    81   0.231192E+04   0.568980E+00   0.648846E-01  -0.141716E+02
    82   0.233487E+04   0.584808E+00   0.650974E-01  -0.147308E+02
    83   0.235805E+04   0.600693E+00   0.652781E-01  -0.152971E+02
    84   0.238153E+04   0.616632E+00   0.654267E-01  -0.158687E+02
    85   0.240519E+04   0.632602E+00   0.655435E-01  -0.164469E+02
    86   0.242910E+04   0.648615E+00   0.656283E-01  -0.170309E+02
    87   0.245348E+04   0.664641E+00   0.656815E-01  -0.176199E+02
    88   0.247790E+04   0.680691E+00   0.657033E-01  -0.182139E+02
    89   0.250273E+04   0.696749E+00   0.656938E-01  -0.188141E+02
    90   0.252783E+04   0.712776E+00   0.656533E-01  -0.194177E+02
    91   0.255313E+04   0.728764E+00   0.655821E-01  -0.200254E+02
    92   0.257877E+04   0.744697E+00   0.654806E-01  -0.206365E+02
    93   0.260476E+04   0.760568E+00   0.653496E-01  -0.212510E+02
    94   0.263088E+04   0.776340E+00   0.651897E-01  -0.218676E+02
    95   0.265734E+04   0.792013E+00   0.650015E-01  -0.224872E+02
    96   0.268387E+04   0.807572E+00   0.647856E-01  -0.231089E+02
    97   0.271089E+04   0.823003E+00   0.645427E-01  -0.237323E+02
    98   0.273820E+04   0.838298E+00   0.642733E-01  -0.243551E+02
    99   0.276564E+04   0.853421E+00   0.639782E-01  -0.249804E+02
   100   0.279345E+04   0.868371E+00   0.636578E-01  -0.256039E+02
   101   0.282146E+04   0.883209E+00   0.633130E-01  -0.262286E+02
   102   0.285006E+04   0.897785E+00   0.629442E-01  -0.268524E+02
   103   0.287865E+04   0.912174E+00   0.625522E-01  -0.274760E+02
   104   0.290753E+04   0.926377E+00   0.621375E-01  -0.280966E+02
   105   0.293663E+04   0.940318E+00   0.617008E-01  -0.287159E+02
   106   0.296602E+04   0.954074E+00   0.612427E-01  -0.293331E+02
   107   0.299541E+04   0.967494E+00   0.607638E-01  -0.299468E+02
   108   0.302525E+04   0.980654E+00   0.602648E-01  -0.305578E+02
   109   0.305531E+04   0.993480E+00   0.597463E-01  -0.311649E+02
   110   0.308552E+04   0.100597E+01   0.592089E-01  -0.317665E+02
   111   0.311596E+04   0.101820E+01   0.586532E-01  -0.323642E+02
